COD_UF;COD_MUNICIPIO;COD_DISTRITO;SITUACAO;NOM_TIPO_SEGLOGR;NOM_TITULO_SEGLOGR;NOM_SEGLOGR;NUM_ENDERECO;LATITUDE;LONGITUDE;ALTITUDE;DSC_LOCALIDADE;COD_ESPECIE;CEP
35;9502;15;2;RODOVIA;;JOSE BONLFACIO COUTINHO NOGUEI;;-2.289.183.663.888.880;-4.691.894.497.222.220;685.0;JOAQUIM EGIDIO;3;13106001
35;9502;15;2;ESTRADA;;USINA SALTO GRANDE;;-22.897.846.666.666.600;-4.693.952.333.333.330;685.0;JOAQUIM EGIDIO;3;13010010
35;9502;5;2;ESTRADA;;MUNICIPAL DOS AVEIROS;;-2.291.903.163.888.880;-4.700.906.330.555.550;713.0;CHACARA AVEIROS;3;13101499
35;9502;5;2;ESTRADA;;MUNICIPAL DOS AVEIROS;;-22.916.891.666.666.600;-4.700.963.163.888.880;719.0;AVEIRO;3;13101499
35;9502;5;2;TRAVESSA;;DA ESTRADA MUNICIPAL DOS AVEI;;-22.919.323.333.333.300;-4.700.864.166.666.660;718.0;MATO DENTRO;3;13101499
35;9502;5;2;RUA;;PENEDOS;;-22.917.615;-4.701.318;706.0;JARDIM DAS ANDORINHAS;3;13101462
35;9502;5;2;RUA;;PENEDOS;;-22.916.914.972.222.200;-4.701.278.333.333.330;719.0;JARDIM ANDORINHAS;3;13101462
35;9502;5;2;RUA;;LITORAL;62.0;-2.291.832.663.888.880;-4.701.662;741.0;JARDIM DAS ANDORINHAS;3;13101432
35;9502;5;2;RUA;;LITORAL;119.0;-22.917.728.333.333.300;-47.016.108.333.333.300;729.0;JARDIM DAS ANDORINHAS;3;13101432
35;9502;5;2;ESTRADA;;ANTONIO INACIO PUPO;;-22.747.943.333.333.300;-4.697.876.163.888.880;645.0;CARLOS GOMES;3;13099102
35;9502;10;2;ESTRADA;;DA RHODIA;15.0;-22.781.178.333.333.300;-4.708.549.666.666.660;557.0;VILA HOLLANDIA;3;13085000
35;9502;5;2;ESTRADA;;MUNICIPAL DOS AVEIROS;;-2.292.179;-4.700.271.330.555.550;720.0;MATO DENTRO;3;13101499
35;9502;5;2;ESTRADA;;MUNICIPAL DOS AVEIROS;;-2.292.107.163.888.880;-4.700.008;736.0;JARDIM ANDORINHAS;3;13101499
35;9502;5;2;ESTRADA;;MUNICIPAL DOS AVEIROS;;-22.922.399.972.222.200;-46.999.409.972.222.200;740.0;CONDOMINIO AVEIROS;3;13101499
